,state,county,candidate,party,total_votes,won,fips,state_code,male,female,median_age,population,female_percentage,lat,long,color
3874,Kansas,Seward County,Donald Trump,REP,3285,True,20175,KS,11601,11091,29.4,22692,48.876255949233204,37.19332916172251,-100.85134443991512,red
3877,Kansas,Shawnee County,Joe Biden,DEM,43015,True,20177,KS,86327,91957,38.9,178284,51.578941464180744,39.04151430752982,-95.75652929631045,blue
3881,Kansas,Sheridan County,Donald Trump,REP,1237,True,20179,KS,1275,1231,44.3,2506,49.12210694333599,39.35034743900767,-100.44183950253668,red
3885,Kansas,Sherman County,Donald Trump,REP,2222,True,20181,KS,3003,2963,38.8,5966,49.664767013074076,39.351449056251724,-101.71998405267168,red
3889,Kansas,Smith County,Donald Trump,REP,1734,True,20183,KS,1809,1854,51.6,3663,50.614250614250615,39.785166937239865,-98.78546972562616,red
3892,Kansas,Stafford County,Donald Trump,REP,1631,True,20185,KS,2157,2057,44.4,4214,48.81347887992406,38.03098114412035,-98.71742593869577,red
3895,Kansas,Stanton County,Donald Trump,REP,607,True,20187,KS,1055,1008,39.6,2063,48.86088221037324,37.563004984695276,-101.78421666469308,red
3898,Kansas,Stevens County,Donald Trump,REP,1731,True,20189,KS,2882,2804,34.7,5686,49.31410481885332,37.19233948988696,-101.3120589534354,red
3901,Kansas,Sumner County,Donald Trump,REP,7998,True,20191,KS,11581,11627,41.1,23208,50.09910375732506,37.23731237107008,-97.4765427738525,red
3904,Kansas,Thomas County,Donald Trump,REP,3106,True,20193,KS,3816,4008,36.1,7824,51.22699386503068,39.3509175524102,-101.05556039582864,red
3908,Kansas,Trego County,Donald Trump,REP,1341,True,20195,KS,1450,1408,49.2,2858,49.26522043386985,38.914309508875114,-99.87283476983828,red
3911,Kansas,Wabaunsee County,Donald Trump,REP,2813,True,20197,KS,3497,3391,43.8,6888,49.23054587688734,38.953269933587535,-96.20499592102692,red
3914,Kansas,Wallace County,Donald Trump,REP,762,True,20199,KS,790,785,43.1,1575,49.84126984126985,38.916681207931404,-101.76361597256924,red
3917,Kansas,Washington County,Donald Trump,REP,2332,True,20201,KS,2844,2681,46.5,5525,48.524886877828045,39.78417867036999,-97.08753438664354,red
3920,Kansas,Wichita County,Donald Trump,REP,803,True,20203,KS,1019,1124,45.0,2143,52.44983667755483,38.48205352332075,-101.34738393157915,red
3924,Kansas,Wilson County,Donald Trump,REP,3111,True,20205,KS,4318,4462,43.9,8780,50.82004555808657,37.55926512961432,-95.74341897352505,red
3927,Kansas,Woodson County,Donald Trump,REP,1189,True,20207,KS,1583,1587,48.3,3170,50.06309148264985,37.88669687608426,-95.74013435622689,red
3930,Kansas,Wyandotte County,Joe Biden,DEM,35566,True,20209,KS,81294,83051,33.7,164345,50.53454622896954,39.11461543591877,-94.76455164790414,blue
3933,Kentucky,Adair County,Donald Trump,REP,7276,True,21001,KY,9525,9716,41.5,19241,50.49633594927498,37.104170059474406,-85.28062000478374,red
3939,Kentucky,Allen County,Donald Trump,REP,7587,True,21003,KY,10339,10455,40.0,20794,50.27892661344618,36.75125145291904,-86.19041518742969,red
3945,Kentucky,Anderson County,Donald Trump,REP,9661,True,21005,KY,10873,11341,41.0,22214,51.05338975420906,38.00392064963655,-84.99099658225089,red
3951,Kentucky,Ballard County,Donald Trump,REP,3356,True,21007,KY,3992,4098,43.3,8090,50.655129789864034,37.05848196169252,-88.99925588833919,red
3957,Kentucky,Barren County,Donald Trump,REP,14654,True,21009,KY,21165,22515,40.3,43680,51.54532967032966,36.965585922820175,-85.9336621612554,red
3963,Kentucky,Bath County,Donald Trump,REP,3986,True,21011,KY,6096,6172,40.4,12268,50.309748940332575,38.14495216630578,-83.74267657495382,red
3969,Kentucky,Bell County,Donald Trump,REP,8140,True,21013,KY,13325,13863,41.6,27188,50.98940709136384,36.73064599952872,-83.67408276436716,red
3975,Kentucky,Boone County,Donald Trump,REP,44814,True,21015,KY,64061,65034,37.3,129095,50.3768542546187,38.969855770920134,-84.72783779986514,red
3981,Kentucky,Bourbon County,Donald Trump,REP,6190,True,21017,KY,9670,10474,42.1,20144,51.99563145353454,38.20673452494953,-84.21715057392247,red
3987,Kentucky,Boyd County,Donald Trump,REP,14295,True,21019,KY,23958,24133,41.9,48091,50.18194672599863,38.359572593373365,-82.68775351233899,red
3993,Kentucky,Boyle County,Donald Trump,REP,8872,True,21021,KY,14903,15010,40.3,29913,50.178852004145355,37.62438277360131,-84.8668421538937,red
3999,Kentucky,Bracken County,Donald Trump,REP,3398,True,21023,KY,4183,4123,40.7,8306,49.63881531423068,38.68879489397331,-84.09014459480437,red
4005,Kentucky,Breathitt County,Donald Trump,REP,4265,True,21025,KY,6577,6539,41.6,13116,49.855138761817635,37.521615669899866,-83.32406324598597,red
4011,Kentucky,Breckinridge County,Donald Trump,REP,7701,True,21027,KY,10088,9992,42.9,20080,49.760956175298794,37.7733893799679,-86.42933749903695,red
4017,Kentucky,Bullitt County,Donald Trump,REP,30708,True,21029,KY,39627,39839,40.1,79466,50.13339038079179,37.97007363413742,-85.69586025760096,red
4023,Kentucky,Butler County,Donald Trump,REP,4960,True,21031,KY,6412,6333,41.0,12745,49.69007453903492,37.207284503217736,-86.68162334315123,red
4029,Kentucky,Caldwell County,Donald Trump,REP,4906,True,21033,KY,6168,6559,43.5,12727,51.536104345093115,37.14540714554282,-87.86786378165158,red
4035,Kentucky,Calloway County,Donald Trump,REP,11352,True,21035,KY,18818,19958,35.3,38776,51.46998143181349,36.62103516573015,-88.27224810688963,red
4041,Kentucky,Campbell County,Donald Trump,REP,28482,True,21037,KY,45124,47143,38.1,92267,51.09410731897645,38.946514687879436,-84.37951741018956,red
4047,Kentucky,Carlisle County,Donald Trump,REP,2159,True,21039,KY,2344,2497,42.9,4841,51.58025201404668,36.85320008487635,-88.9709835374767,red
4053,Kentucky,Carroll County,Donald Trump,REP,2954,True,21041,KY,5455,5256,38.1,10711,49.07104845485949,38.66783831186265,-85.12357379535716,red
4059,Kentucky,Carter County,Donald Trump,REP,8775,True,21043,KY,13437,13853,41.0,27290,50.762183950164896,38.31818558830256,-83.04953874590531,red
4065,Kentucky,Casey County,Donald Trump,REP,6179,True,21045,KY,7738,8058,42.9,15796,51.012914661939725,37.32232537008903,-84.92832120159906,red
4071,Kentucky,Christian County,Donald Trump,REP,15080,True,21047,KY,38411,33852,28.4,72263,46.84555028161022,36.8941688657579,-87.4904544360181,red
4077,Kentucky,Clark County,Donald Trump,REP,11811,True,21049,KY,17573,18299,42.2,35872,51.01193131132917,37.970821370062666,-84.14741622244642,red
4083,Kentucky,Clay County,Donald Trump,REP,6677,True,21051,KY,10827,9794,39.7,20621,47.49527181029048,37.159695637385795,-83.71464308746387,red
4089,Kentucky,Clinton County,Donald Trump,REP,4280,True,21053,KY,5084,5127,41.7,10211,50.210557242189786,36.7274416528062,-85.1361738297924,red
4095,Kentucky,Crittenden County,Donald Trump,REP,3451,True,21055,KY,4593,4490,43.6,9083,49.43300671584278,37.35272341005486,-88.09719712944563,red
4101,Kentucky,Cumberland County,Donald Trump,REP,2769,True,21057,KY,3289,3424,46.1,6713,51.00551169372858,36.78659786357602,-85.38851234787884,red
4107,Kentucky,Daviess County,Donald Trump,REP,31025,True,21059,KY,48742,51195,38.7,99937,51.227273182104724,37.73178563624608,-87.08726981130886,red
4113,Kentucky,Edmonson County,Donald Trump,REP,4828,True,21061,KY,6093,6029,43.8,12122,49.73601715888467,37.20879862721897,-86.23842222167913,red
4119,Kentucky,Elliott County,Donald Trump,REP,2246,True,21063,KY,4285,3232,41.9,7517,42.995876014367425,38.1179005702399,-83.09761513720926,red
4125,Kentucky,Estill County,Donald Trump,REP,5100,True,21065,KY,7104,7209,43.7,14313,50.36679941312094,37.69244422727429,-83.96431121402226,red
4131,Kentucky,Fayette County,Joe Biden,DEM,90600,True,21067,KY,156453,162281,34.4,318734,50.914241969793,38.042319190332066,-84.45871291502445,blue
4137,Kentucky,Fleming County,Donald Trump,REP,5534,True,21069,KY,7146,7333,40.9,14479,50.645762828924646,38.37011818128264,-83.69665601093851,red
4143,Kentucky,Floyd County,Donald Trump,REP,12250,True,21071,KY,18070,18856,41.9,36926,51.064290743649465,37.55711904966176,-82.74570556885945,red
4149,Kentucky,Franklin County,Donald Trump,REP,12900,True,21073,KY,24390,25906,40.5,50296,51.50707809766185,38.23915253806735,-84.87706177250064,red
4155,Kentucky,Fulton County,Donald Trump,REP,1606,True,21075,KY,3102,3108,43.1,6210,50.04830917874396,36.55404202803442,-89.1873623207857,red
4161,Kentucky,Gallatin County,Donald Trump,REP,2955,True,21077,KY,4473,4230,38.9,8703,48.603929679420894,38.7568706772705,-84.85932836826456,red
4167,Kentucky,Garrard County,Donald Trump,REP,6754,True,21079,KY,8475,8853,42.7,17328,51.090720221606645,37.63959984067747,-84.53766513880791,red
4173,Kentucky,Grant County,Donald Trump,REP,8725,True,21081,KY,12318,12597,36.0,24915,50.559903672486456,38.64881433781493,-84.62458220942446,red
4179,Kentucky,Graves County,Donald Trump,REP,13206,True,21083,KY,18348,18946,40.3,37294,50.80173754491339,36.72310321811679,-88.65120022075081,red
4185,Kentucky,Grayson County,Donald Trump,REP,9453,True,21085,KY,13073,13105,40.5,26178,50.06112002444802,37.46081386395805,-86.34391607694565,red
4191,Kentucky,Green County,Donald Trump,REP,4838,True,21087,KY,5393,5630,44.6,11023,51.075024947836354,37.26403739203013,-85.55312116210817,red
4197,Kentucky,Greenup County,Donald Trump,REP,13064,True,21089,KY,17411,18354,43.4,35765,51.31832797427652,38.545692923388145,-82.92234465358831,red
4203,Kentucky,Hancock County,Donald Trump,REP,3145,True,21091,KY,4494,4225,39.4,8719,48.457391902741136,37.84149090008978,-86.77791284146161,red
4209,Kentucky,Hardin County,Donald Trump,REP,29832,True,21093,KY,53723,54372,36.3,108095,50.30019889911652,37.6979237482779,-85.96344816564529,red
4215,Kentucky,Harlan County,Donald Trump,REP,9367,True,21095,KY,13132,14002,41.2,27134,51.6031547136434,36.856945509152546,-83.21799385909364,red
4221,Kentucky,Harrison County,Donald Trump,REP,6334,True,21097,KY,9146,9522,42.1,18668,51.00707092350546,38.441815200140006,-84.33136381686438,red
4227,Kentucky,Hart County,Donald Trump,REP,6345,True,21099,KY,9166,9461,40.2,18627,50.791861276641434,37.29993003213643,-85.88469125715005,red
4233,Kentucky,Henderson County,Donald Trump,REP,12730,True,21101,KY,22328,23809,40.8,46137,51.60500249257647,37.795803945827984,-87.57303115489077,red
4239,Kentucky,Henry County,Donald Trump,REP,5843,True,21103,KY,7813,8001,41.3,15814,50.59441001644112,38.448467101988136,-85.11891597272233,red
4245,Kentucky,Hickman County,Donald Trump,REP,1714,True,21105,KY,2133,2435,46.6,4568,53.30560420315237,36.678129569697646,-88.9761445546238,red
4251,Kentucky,Hopkins County,Donald Trump,REP,15757,True,21107,KY,22219,23445,41.9,45664,51.342414155571134,37.30883958333233,-87.540836611603,red
4257,Kentucky,Jackson County,Donald Trump,REP,5453,True,21109,KY,6655,6718,41.0,13373,50.235549241007995,37.41976588130688,-84.00575272402426,red
4263,Kentucky,Jefferson County,Joe Biden,DEM,228358,True,21111,KY,370844,396310,38.1,767154,51.659771049880455,38.187175114648525,-85.65913786045657,blue
4269,Kentucky,Jessamine County,Donald Trump,REP,17096,True,21113,KY,25479,26943,37.9,52422,51.396360306741435,37.8720714791172,-84.58095197831827,red
4275,Kentucky,Johnson County,Donald Trump,REP,8450,True,21115,KY,11200,11643,41.8,22843,50.96966247865868,37.846641007178434,-82.83151469721984,red
4281,Kentucky,Kenton County,Donald Trump,REP,48129,True,21117,KY,81430,83258,37.0,164688,50.554988827358386,38.93339565485879,-84.53331131636233,red
4287,Kentucky,Knott County,Donald Trump,REP,4780,True,21119,KY,7693,7820,42.6,15513,50.4093341068781,37.354047193610526,-82.9541413656237,red
4293,Kentucky,Knox County,Donald Trump,REP,11012,True,21121,KY,15330,16137,40.0,31467,51.28229573839261,36.89064843281336,-83.85404403118106,red
4299,Kentucky,Larue County,Donald Trump,REP,5685,True,21123,KY,7027,7129,40.8,14156,50.360271263068675,37.5457934635401,-85.69792829735577,red
4305,Kentucky,Laurel County,Donald Trump,REP,23237,True,21125,KY,29412,30768,39.6,60180,51.12662013958126,37.110673620190184,-84.11780203009789,red
4311,Kentucky,Lawrence County,Donald Trump,REP,5633,True,21127,KY,7898,7885,41.1,15783,49.95881644807704,38.06787567071403,-82.73475457983888,red
4317,Kentucky,Lee County,Donald Trump,REP,2273,True,21129,KY,3501,3250,44.1,6751,48.141016145756176,37.59480249449985,-83.71619576935275,red
4323,Kentucky,Leslie County,Donald Trump,REP,4321,True,21131,KY,5067,5405,41.8,10472,51.613827349121465,37.094068619347226,-83.3811275508591,red
4329,Kentucky,Letcher County,Donald Trump,REP,7226,True,21133,KY,11087,11589,42.2,22676,51.106897159992954,37.12117501063009,-82.85531290041101,red
4335,Kentucky,Lewis County,Donald Trump,REP,4986,True,21135,KY,6714,6776,42.9,13490,50.22979985174203,38.531582796517256,-83.3780684994154,red
4341,Kentucky,Lincoln County,Donald Trump,REP,8489,True,21137,KY,11981,12477,40.5,24458,51.01398315479597,37.455367649652565,-84.66084396512277,red
4347,Kentucky,Livingston County,Donald Trump,REP,4010,True,21139,KY,4626,4637,45.7,9263,50.05937601209112,37.20962301819127,-88.35372060298634,red
4353,Kentucky,Logan County,Donald Trump,REP,9067,True,21141,KY,13154,13695,40.8,26849,51.00748631233938,36.85968525501186,-86.87891916564875,red
4359,Kentucky,Lyon County,Donald Trump,REP,3100,True,21143,KY,4496,3690,48.9,8186,45.076960664549226,37.019100688453605,-88.08316021748779,red
4365,Kentucky,McCracken County,Donald Trump,REP,21820,True,21145,KY,31193,34091,42.1,65284,52.21953311684333,37.05395743324653,-88.71265236936874,red
4371,Kentucky,McCreary County,Donald Trump,REP,5664,True,21147,KY,9613,8022,40.0,17635,45.48908420754182,36.7371206967089,-84.48422152862756,red
4377,Kentucky,McLean County,Donald Trump,REP,3633,True,21149,KY,4602,4729,41.3,9331,50.68052727467581,37.52919290911706,-87.26360911090019,red
4383,Kentucky,Madison County,Donald Trump,REP,27356,True,21151,KY,43737,45963,34.0,89700,51.240802675585286,37.720182524752815,-84.2780042267978,red
4389,Kentucky,Magoffin County,Donald Trump,REP,4174,True,21153,KY,6348,6318,42.1,12666,49.88157271435339,37.706468793711466,-83.06491970911979,red
4395,Kentucky,Marion County,Donald Trump,REP,6113,True,21155,KY,9751,9481,39.7,19232,49.298044925124785,37.552536011601184,-85.26963609723025,red
4401,Kentucky,Marshall County,Donald Trump,REP,13297,True,21157,KY,15341,15825,44.8,31166,50.776487197587116,36.883442794616855,-88.32937270260116,red
4407,Kentucky,Martin County,Donald Trump,REP,3496,True,21159,KY,6583,5336,39.3,11919,44.76885644768856,37.801576940077155,-82.51323011079762,red
4413,Kentucky,Mason County,Donald Trump,REP,5477,True,21161,KY,8485,8668,40.7,17153,50.53343438465574,38.595186393876226,-83.82408709096579,red
4419,Kentucky,Meade County,Donald Trump,REP,10185,True,21163,KY,14352,13974,38.5,28326,49.332768481253964,37.96974097454854,-86.21697476531588,red
4425,Kentucky,Menifee County,Donald Trump,REP,2311,True,21165,KY,3421,2984,46.2,6405,46.58860265417643,37.94138815475975,-83.59886644921973,red
4431,Kentucky,Mercer County,Donald Trump,REP,8506,True,21167,KY,10597,10919,42.2,21516,50.748280349507354,37.81104052708324,-84.87445674828649,red
4437,Kentucky,Metcalfe County,Donald Trump,REP,3959,True,21169,KY,4923,5081,43.4,10004,50.78968412634946,36.99053101751967,-85.62922747620969,red
4443,Kentucky,Monroe County,Donald Trump,REP,4628,True,21171,KY,5370,5264,41.6,10634,49.501598645852916,36.712154666719314,-85.71648016856874,red
4449,Kentucky,Montgomery County,Donald Trump,REP,8993,True,21173,KY,13541,14218,39.1,27759,51.219424330847644,38.03351826258937,-83.91314317332643,red
4455,Kentucky,Morgan County,Donald Trump,REP,4301,True,21175,KY,7425,5860,41.3,13285,44.10989838163343,37.922282943114304,-83.2588858877335,red
4461,Kentucky,Muhlenberg County,Donald Trump,REP,10497,True,21177,KY,15286,15795,42.4,31081,50.818828223030145,37.21578974706442,-87.14203054728935,red
4467,Kentucky,Nelson County,Donald Trump,REP,15703,True,21179,KY,22492,22896,39.5,45388,50.44505155547722,37.80515400478388,-85.4659580165212,red
4473,Kentucky,Nicholas County,Donald Trump,REP,2408,True,21181,KY,3369,3731,41.5,7100,52.549295774647895,38.33555368042243,-84.01530138328647,red
4479,Kentucky,Ohio County,Donald Trump,REP,8582,True,21183,KY,11960,12111,40.6,24071,50.31365543600182,37.47819577244096,-86.84887834685622,red
4485,Kentucky,Oldham County,Donald Trump,REP,22654,True,21185,KY,34328,31046,39.0,65374,47.48982776027167,38.399438050651725,-85.4483391565282,red
4491,Kentucky,Owen County,Donald Trump,REP,4292,True,21187,KY,5304,5437,41.2,10741,50.619122986686534,38.51964952626553,-84.82810333892283,red
4497,Kentucky,Owsley County,Donald Trump,REP,1671,True,21189,KY,1947,2516,42.5,4463,56.3746358951378,37.419199638938686,-83.68309732468299,red
4503,Kentucky,Pendleton County,Donald Trump,REP,5515,True,21191,KY,7360,7160,41.1,14520,49.311294765840216,38.69563700048997,-84.36025441797949,red
4509,Kentucky,Perry County,Donald Trump,REP,8129,True,21193,KY,13273,13644,41.2,26917,50.68915555225322,37.24429917420977,-83.221470774767,red
4515,Kentucky,Pike County,Donald Trump,REP,20284,True,21195,KY,29507,30976,42.1,60483,51.21439082056115,37.46907040006162,-82.39582318912706,red
4521,Kentucky,Powell County,Donald Trump,REP,4041,True,21197,KY,6048,6273,39.2,12321,50.91307523739956,37.83112677738941,-83.82373372231326,red
4527,Kentucky,Pulaski County,Donald Trump,REP,25442,True,21199,KY,31517,32628,41.9,64145,50.86600670356224,37.103865390511906,-84.57725002048795,red
4533,Kentucky,Robertson County,Donald Trump,REP,884,True,21201,KY,1147,996,44.1,2143,46.47690153989735,38.51880890414234,-84.05203189215372,red
4539,Kentucky,Rockcastle County,Donald Trump,REP,6577,True,21203,KY,8170,8657,42.5,16827,51.447079099066976,37.365058270301425,-84.31600989437104,red
4545,Kentucky,Rowan County,Donald Trump,REP,5994,True,21205,KY,11763,12736,30.4,24499,51.985795338585255,38.196255400842254,-83.42110798460487,red
4551,Kentucky,Russell County,Donald Trump,REP,7519,True,21207,KY,8688,9072,43.1,17760,51.081081081081074,36.991090642014505,-85.05865143331131,red
4557,Kentucky,Scott County,Donald Trump,REP,17767,True,21209,KY,26516,27001,36.2,53517,50.4531270437431,38.29154577693896,-84.58392156831377,red
4563,Kentucky,Shelby County,Donald Trump,REP,15055,True,21211,KY,22613,24173,39.1,46786,51.667165391356384,38.21545335416787,-85.19477852183907,red
4569,Kentucky,Simpson County,Donald Trump,REP,5888,True,21213,KY,8926,9137,39.5,18063,50.584066877041465,36.74195035731289,-86.58224359116494,red
4575,Kentucky,Spencer County,Donald Trump,REP,8737,True,21215,KY,9277,8969,41.6,18246,49.15597939274362,38.03252017215665,-85.32782653951507,red
4581,Kentucky,Taylor County,Donald Trump,REP,9376,True,21217,KY,12525,12975,37.9,25500,50.882352941176464,37.36646569645785,-85.32792647312921,red
4587,Kentucky,Todd County,Donald Trump,REP,4062,True,21219,KY,6049,6301,37.6,12350,51.020242914979754,36.835682245018575,-87.17923392818872,red
4593,Kentucky,Trigg County,Donald Trump,REP,5487,True,21221,KY,7077,7267,45.8,14344,50.66229782487451,36.8063586758102,-87.87335278270689,red
4599,Kentucky,Trimble County,Donald Trump,REP,3227,True,21223,KY,4238,4399,43.0,8637,50.93203658677782,38.6129971059655,-85.33754103060926,red
4605,Kentucky,Union County,Donald Trump,REP,4965,True,21225,KY,7597,7205,37.6,14802,48.675854614241324,37.65846199114369,-87.94534461799583,red
4611,Kentucky,Warren County,Donald Trump,REP,31791,True,21227,KY,61873,64554,32.8,126427,51.060295664691886,36.99357344980514,-86.42380702736388,red
4617,Kentucky,Washington County,Donald Trump,REP,4482,True,21229,KY,5865,6154,40.7,12019,51.202263083451214,37.753380142783996,-85.17476536695051,red
4623,Kentucky,Wayne County,Donald Trump,REP,7430,True,21231,KY,10154,10455,42.6,20609,50.730263477121646,36.80127910050611,-84.82862312595402,red
4629,Kentucky,Webster County,Donald Trump,REP,4506,True,21233,KY,6457,6698,41.1,13155,50.916001520334476,37.51844353431828,-87.68316316664009,red
4635,Kentucky,Whitley County,Donald Trump,REP,12567,True,21235,KY,17668,18421,36.8,36089,51.0432541771731,36.758096820331176,-84.14517967451198,red
4641,Kentucky,Wolfe County,Donald Trump,REP,2097,True,21237,KY,3596,3627,41.6,7223,50.21459227467812,37.73931922500845,-83.49316615527576,red
4647,Kentucky,Woodford County,Donald Trump,REP,8362,True,21239,KY,12564,13533,42.4,26097,51.85653523393493,38.04238650871746,-84.74360193801229,red
4653,Louisiana,Acadia Parish,Donald Trump,REP,22596,True,22001,LA,30491,32077,36.2,62568,51.26742104590206,30.290536480532676,-92.41198414558079,red
4666,Louisiana,Allen Parish,Donald Trump,REP,7574,True,22003,LA,14638,11023,38.3,25661,42.956237091305866,30.652918535913077,-92.82791859549394,red
4679,Louisiana,Ascension Parish,Donald Trump,REP,40687,True,22005,LA,59998,61178,35.4,121176,50.48689509473822,30.203544323210544,-90.91130991020077,red
4692,Louisiana,Assumption Parish,Donald Trump,REP,7271,True,22007,LA,11005,11709,40.5,22714,51.54970502773621,29.900782621804474,-91.06258774626066,red
4705,Louisiana,Avoyelles Parish,Donald Trump,REP,12028,True,22009,LA,20607,20275,37.9,40882,49.593953329093495,31.076237716704718,-92.00138567599062,red
4718,Louisiana,Beauregard Parish,Donald Trump,REP,13575,True,22011,LA,18712,18057,37.6,36769,49.109304033288915,30.648458659038976,-93.34336855242913,red
4731,Louisiana,Bienville Parish,Donald Trump,REP,3891,True,22013,LA,6523,7145,41.6,13668,52.27538776704712,32.34717072866756,-93.05597977046476,red
4744,Louisiana,Bossier Parish,Donald Trump,REP,38074,True,22015,LA,62349,63782,35.1,126131,50.56806019138832,32.67892598931742,-93.60504359203878,red
4757,Louisiana,Caddo Parish,Joe Biden,DEM,55110,True,22017,LA,117828,130533,37.4,248361,52.557768731805716,32.580070916805504,-93.88232880160378,blue
4770,Louisiana,Calcasieu Parish,Donald Trump,REP,55066,True,22019,LA,97603,102579,36.0,200182,51.242868989219815,30.22927163338553,-93.35801271230395,red
4783,Louisiana,Caldwell Parish,Donald Trump,REP,3976,True,22021,LA,5277,4719,40.1,9996,47.208883553421366,32.092309888809716,-92.1165589241765,red
4796,Louisiana,Cameron Parish,Donald Trump,REP,3671,True,22023,LA,3357,3511,44.5,6868,51.1211415259173,29.875443198703913,-93.19381789502044,red
4809,Louisiana,Catahoula Parish,Donald Trump,REP,3541,True,22025,LA,5214,4679,38.1,9893,47.29606792681695,31.666179846912602,-91.84706123944595,red
4822,Louisiana,Claiborne Parish,Donald Trump,REP,3770,True,22027,LA,9205,6948,42.2,16153,43.01368166903981,32.82263508134525,-92.99575993474207,red
4835,Louisiana,Concordia Parish,Donald Trump,REP,5550,True,22029,LA,10210,9811,37.8,20021,49.00354627640977,31.44585575886444,-91.64006957891719,red
4848,Louisiana,De Soto Parish,Donald Trump,REP,9112,True,22031,LA,13172,14044,39.7,27216,51.60199882422105,32.05543534929249,-93.73724615963785,red
4861,Louisiana,East Baton Rouge Parish,Joe Biden,DEM,115577,True,22033,LA,212778,231316,33.7,444094,52.08717073412386,30.538251256349,-91.09560315466163,blue
4874,Louisiana,East Carroll Parish,Joe Biden,DEM,1900,True,22035,LA,4373,2852,33.0,7225,39.47404844290657,32.732551454914926,-91.23505403065262,blue
4887,Louisiana,East Feliciana Parish,Donald Trump,REP,6064,True,22037,LA,10715,8784,43.0,19499,45.04846402379609,30.845105450175826,-91.04552428900487,red
4900,Louisiana,Evangeline Parish,Donald Trump,REP,11053,True,22039,LA,17142,16494,35.4,33636,49.03674634320371,30.72894984480572,-92.40590574867468,red
4913,Louisiana,Franklin Parish,Donald Trump,REP,6970,True,22041,LA,9981,10341,38.5,20322,50.88573959255979,32.133213691650724,-91.6737718780324,red
4926,Louisiana,Grant Parish,Donald Trump,REP,8117,True,22043,LA,12658,9690,38.3,22348,43.359584750313225,31.599697402253494,-92.55950489391508,red
4939,Louisiana,Iberia Parish,Donald Trump,REP,21251,True,22045,LA,35508,37183,36.5,72691,51.15213712839278,29.896528709408496,-91.72998354230688,red
4952,Louisiana,Iberville Parish,Joe Biden,DEM,8514,True,22047,LA,16661,16295,38.3,32956,49.444714164340326,30.258489962809854,-91.34933844106884,blue
4965,Louisiana,Jackson Parish,Donald Trump,REP,5394,True,22049,LA,8080,7846,40.3,15926,49.26535225417556,32.30205969229333,-92.55778384410247,red
4978,Louisiana,Jefferson Parish,Donald Trump,REP,105949,True,22051,LA,211175,224125,39.2,435300,51.48747989892029,29.787167802757157,-90.12738938670178,red
4991,Louisiana,Jefferson Davis Parish,Donald Trump,REP,11423,True,22053,LA,15590,15877,37.7,31467,50.45603330473194,30.267702963521565,-92.81412241395238,red
5004,Louisiana,Lafayette Parish,Donald Trump,REP,72519,True,22055,LA,117169,122922,34.9,240091,51.198087391863915,30.206744647264657,-92.06387514959995,red
5017,Louisiana,Lafourche Parish,Donald Trump,REP,36024,True,22057,LA,48261,49953,37.5,98214,50.86138432402713,29.56623878542536,-90.42577006003224,red
5030,Louisiana,LaSalle Parish,Donald Trump,REP,6378,True,22059,LA,7730,7219,38.0,14949,48.29085557562379,31.67670103818386,-92.16040874819427,red
5043,Louisiana,Lincoln Parish,Donald Trump,REP,11311,True,22061,LA,23041,24315,27.8,47356,51.345130500886896,32.60161626031195,-92.66483582632877,red
5056,Louisiana,Livingston Parish,Donald Trump,REP,54877,True,22063,LA,67836,70275,36.3,138111,50.882985424767035,30.44014952282762,-90.72789747675579,red
5069,Louisiana,Madison Parish,Joe Biden,DEM,2654,True,22065,LA,5708,5764,35.1,11472,50.24407252440725,32.36440307134817,-91.24262373016052,blue
5082,Louisiana,Morehouse Parish,Donald Trump,REP,6510,True,22067,LA,12444,13548,39.6,25992,52.123730378578024,32.820215935135195,-91.8017876305692,red
5095,Louisiana,Natchitoches Parish,Donald Trump,REP,9358,True,22069,LA,18622,20341,33.7,38963,52.20593896773862,31.723537805497013,-93.09622461332172,red
5108,Louisiana,Orleans Parish,Joe Biden,DEM,147854,True,22071,LA,185377,204271,36.3,389648,52.424495955323785,30.06868620057436,-89.92883166748327,blue
5121,Louisiana,Ouachita Parish,Donald Trump,REP,42255,True,22073,LA,74853,81222,35.4,156075,52.04036520903412,32.47832375111299,-92.15486594315172,red
5134,Louisiana,Plaquemines Parish,Donald Trump,REP,7412,True,22075,LA,11617,11756,36.2,23373,50.29735164506054,29.440526397785177,-89.60968111554193,red
5147,Louisiana,Pointe Coupee Parish,Donald Trump,REP,7503,True,22077,LA,10614,11544,42.9,22158,52.09856485242349,30.709381403559647,-91.60078731441892,red
5160,Louisiana,Rapides Parish,Donald Trump,REP,38347,True,22079,LA,63681,67865,37.3,131546,51.59031821568121,31.198629979290303,-92.53318687121849,red
5173,Louisiana,Red River Parish,Donald Trump,REP,2413,True,22081,LA,4067,4551,38.7,8618,52.80807611974936,32.093132954929665,-93.33986542407423,red
5186,Louisiana,Richland Parish,Donald Trump,REP,6607,True,22083,LA,9952,10522,38.5,20474,51.392009377747385,32.41780311074509,-91.76347507020307,red
5199,Louisiana,Sabine Parish,Donald Trump,REP,8776,True,22085,LA,11929,12159,40.9,24088,50.477416140817006,31.56400056386607,-93.55459812197542,red
5212,Louisiana,St. Bernard Parish,Donald Trump,REP,11179,True,22087,LA,22402,23292,33.7,45694,50.973869654659254,29.8692554294092,-89.55515320212244,red
